S.No,EmpID,Emp Name,DOJ,Designation,Grade,Attrition ,Location,In Active Date,Tenure,Gender,Education,Age,Last Rating,Monthly Income,Engagement Score (% Satisfaction),Marital Status,Zone,Remarks
1,XYZ2685,ABC1,22-Nov-10,Sales Executive,E1,Yes,Bhavnagar,26-May-12,1. 6 ,Female,Bachelors,27,4,25535,2%,Divorced,West,Issues with the Manager
2,XYZ2490,ABC2,5-Jul-10,Technical Services Officer,M2,Yes,Jayanagar,6-Apr-12,1. 9 ,Male,MBA,36,2,52155,45%,Single ,South,More Challenging Job Roles/ Higher designation
3,XYZ2662,ABC3,20-Oct-10,Sales Executive,E1,Yes,Indore,7-Apr-12,1. 5 ,Male,Bachelors,24,4,26438,18%,Divorced,CENTRAL,Issues with the Manager
4,XYZ1679,ABC4,1 May 08,AM - Sales,M1,Yes,Admin Gujarat,3 Apr 12,3 .11 ,Male,Bachelors,33,2,54311,82%,Single ,West,Lack of Growth
5,XYZ2378,ABC5,3 Mar 10,Sales Executive ,E1,Yes,Jagdishpuram,10 Apr 12,2 .1 ,Male,Bachelors,24,4,26702,49%,Divorced,North,Issues with the Manager
6,XYZ3009,ABC6,17 Nov 11,Sales Executive,E1,Yes,Lalganj,9 Apr 12,0. 4 ,Male,Bachelors,26,4,26291,81%,Single ,North,Better Salary
7,XYZ2783,ABC7,7 Feb 11,Sales Executive ,E1,Yes,Trombay,9 Apr 12,1. 2 ,Male,Bachelors,24,2,26663,2%,Divorced,West,Lack of Growth
8,XYZ2657,ABC8,20 Oct 10,Sales Executive,E1,Yes,Sinahagad,11 Apr 12,1. 5 ,Male,Bachelors,27,3,25633,50%,Married,West,Issues with the Manager
9,XYZ3046,ABC9,1 Feb 12,Sales Executive,E1,Yes,Vasai,5 Apr 12,0. 2 ,Female,Bachelors,26,2,25010,42%,Married,West,Lack of Growth
10,XYZ2845,ABC10,11-Apr-11,Sales Executive,E1,Yes,Kozhikode,21-Apr-12,1. 0 ,Male,Bachelors,26,3,25918,9%,Single ,SOUTH,Issues with the Manager
11,XYZ2194,ABC11,12-Apr-11,Sales Executive,E1,Yes,Haridwar,21-Apr-12,2 .5 ,Male,Bachelors,27,2,25393,71%,Single ,NORTH,Issues with the Manager
12,XYZ2255,ABC12,18-Dec-09,Sales Executive,E1,Yes,Jayanagar,3-May-12,2 .4 ,Male,Bachelors,27,3,25473,75%,Married,South,Issues with the Manager
13,XYZ1055,ABC13,1-Aug-07,Sr Sales Executive,E2,Yes,Kozhikode,19-Apr-12,4 .8 ,Male,Bachelors,28,2,39112,57%,Divorced,SOUTH,Lack of Growth
14,XYZ2828,ABC14,28 Mar 11,Sales Executive ,E1,Yes,Madurai,10 May 12,1. 1 ,Male,Bachelors,25,4,25168,3%,Divorced,South,Issues with the Manager
15,XYZ2860,ABC15,11 Jan 10,Sales Executive,E1,Yes,Jammu,19 Apr 12,2 .3 ,Male,Bachelors,25,4,26969,55%,Single ,North,Lack of Growth
16,XYZ2812,ABC16,14 Mar 11,Sales Executive,E1,Yes,Madurai,9 May 12,1. 1 ,Female,Bachelors,26,4,26266,53%,Single ,South,Lack of Growth
17,XYZ3036,ABC17,20-Jan-12,Technical Services Officer,M2,Yes,Dehradun,5-Apr-12,0. 2 ,Male,MBA,39,3,54087,45%,Single ,North,Better Salary
18,XYZ2339,ABC18,1-Feb-10,Sales Executive ,E1,Yes,Jammu,21-Apr-12,2 .2 ,Male,Bachelors,25,4,25264,34%,Divorced,NORTH,Issues with the Manager
19,XYZ2173,ABC19,22 Sep 09,Sales Executive,E1,Yes,Madurai,15 May 12,2 .7 ,Male,Bachelors,27,2,26429,28%,Single ,South,Issues with the Manager
20,XYZ2611,ABC20,20-Dec-10,Sales Executive ,E1,Yes,Hinoo,3 Apr 12,1. 3 ,Male,Bachelors,26,3,26509,79%,Divorced,East,Issues with the Manager
21,XYZ0214,ABC21,3-Jun-05,Sales Executive ,E1,Yes,Madurai,13-Apr-12,6 .10 ,Male,Bachelors,27,2,26976,5%,Divorced,South,Lack of Growth
22,XYZ1916,ABC22,14-Nov-08,Sr Sales Executive,E2,Yes,Balasore,10-Apr-12,3 .4 ,Male,Bachelors,32,4,30041,39%,Married,East,Lack of Growth
23,XYZ2240,ABC23,25-Nov-09,Sales Executive,E1,Yes,Bilaspur,7-Apr-12,2 .4 ,Male,Bachelors,27,3,25882,44%,Married,CENTRAL,Absconding
24,XYZ2836,ABC24,28-Mar-11,Sales Executive,E1,Yes,Madurai,13-Apr-12,1. 0 ,Male,Bachelors,27,2,26553,65%,Married,South,Issues with the Manager
25,XYZ2368,ABC25,25 Mar 10,Sales Executive,E1,Yes,Pune,30 Apr 12,2 .1 ,Male,Bachelors,26,2,26304,12%,Divorced,West,Lack of Growth
26,XYZ2574,ABC26,30 Aug 10,Sales Executive ,E1,Yes,Gurukul,9 May 12,1. 8 ,Male,Bachelors,24,4,25617,35%,Single ,West,Issues with the Manager
27,XYZ1507,ABC27,12-May-08,Sr Sales Executive,E2,Yes,ZO Kolkata,30 Apr 12,3 .11 ,Male,Bachelors,33,4,32527,13%,Single ,East,Lack of Growth
28,XYZ2813,ABC28,10-Mar-11,Sales Executive,E1,Yes,Madurai,4-Apr-12,1. 0 ,Male,Bachelors,24,4,26073,51%,Single ,South,Lack of Growth
29,XYZ1636,ABC29,2 Jun 08,AM - Sales,M1,Yes,Jagatpur,15 Apr 12,3 .10 ,Male,Bachelors,33,2,50671,23%,Married,North,Lack of Growth
30,XYZ2853,ABC30,5 Apr 11,AM - Sales,M1,Yes,Admin Maharastra,30 Apr 12,1. 0 ,Male,Bachelors,40,3,54550,100%,Divorced,West,Lack of Growth
31,XYZ2294,ABC31,11-Jan-10,Sales Executive,E1,Yes,Patiala,16-Apr-12,2 .3 ,Male,Bachelors,28,2,25895,69%,Married,North,Issues with the Manager
32,XYZ2856,ABC32,20 Apr 11,Technical Services Officer,M2,Yes,Madurai,16 May 12,1. 0 ,Male,MBA,44,3,55470,63%,Divorced,South,More Challenging Job Roles/ Higher designation
33,XYZ3083,ABC33,14 Mar 12,Sales Executive,E1,Yes,Nasik,3 Jun 12,0. 2 ,Male,Bachelors,27,2,25373,13%,Married,West,Issues with the Manager
34,XYZ1540,ABC34,26-May-08,Sales Executive,E1,Yes,Trivandrum,19-Apr-12,3 .10 ,Male,Bachelors,28,4,25391,13%,Divorced,South,Issues with the Manager
35,XYZ2878,ABC35,16 May 11,Sales Executive,E1,Yes,Trivandrum,9 Jun 12,1. 0 ,Male,Bachelors,26,3,26467,89%,Divorced,South,Issues with the Manager
36,XYZ1649,ABC36,2 Jun 08,Sales Executive,E1,Yes,Trivandrum,20 May 12,3 .11 ,Female,Bachelors,24,2,25632,13%,Single ,South,Lack of Growth
37,XYZ2817,ABC37,28 Mar 11,Sales Executive,E1,Yes,Trivandrum,22 May 12,1. 1 ,Male,Bachelors,24,2,26219,18%,Divorced,South,Issues with the Manager
38,XYZ2473,ABC38,23-Jun-10,Sales Executive,E1,Yes,Dumdum,27 Apr 12,1. 10 ,Male,Bachelors,26,2,25895,47%,Married,East,Lack of Growth
39,XYZ2643,ABC39,15-Sep-10,Sales Executive,E1,Yes,Bally,18 Apr 12,1. 7 ,Male,Bachelors,26,2,26695,3%,Married,East,Lack of Growth
40,XYZ1601,ABC40,10 Jun 08,Sr Sales Executive ,E2,Yes,Kozhikode,12 Jun 12,4 .0 ,Male,Bachelors,30,2,37473,59%,Single ,South,Lack of Growth
41,XYZ2592,ABC41,30 Aug 10,Sales Executive,E1,Yes,Cuttack,19 Apr 12,1. 7 ,Male,Bachelors,25,2,26707,52%,Single ,East,Issues with the Manager
42,XYZ2669,ABC42,1 Nov 10,Sales Executive ,E1,Yes,Vellore,24 May 12,1. 6 ,Male,Bachelors,27,2,25789,42%,Single ,South,Issues with the Manager
43,XYZ2743,ABC43,21 Jan 11,Sales Executive,E1,Yes,Vyara,24 May 12,1. 4 ,Male,Bachelors,25,2,25678,29%,Divorced,West,Issues with the Manager
44,XYZ0955,ABC44,20 Nov 06,Sales Executive ,E1,Yes,Vellore,20 May 12,5 .6 ,Male,Bachelors,24,2,25692,58%,Married,South,Lack of Growth
45,XYZ2076,ABC45,13 Feb 09,Sr Sales Executive,E2,Yes,ZO Mumbai,16 Jun 12,3 .4 ,Female,Bachelors,27,2,33648,91%,Married,West,Issues with the Manager
46,XYZ2848,ABC46,1 Apr 11, Sales Executive,E1,Yes,Rohini,15 May 12,1. 1 ,Female,Bachelors,28,2,25348,12%,Single ,North,Issues with the Manager
47,XYZ0063,ABC47,05/Jan/07,Regional Manager,M3,Yes,HO Hyderabad,8 May 12,5 .4 ,Female,Bachelors,36,4,58259,27%,Single ,HO,More Challenging Job Roles/ Higher designation
48,XYZ1631,ABC48,7 Jun 08,Sales Executive,E1,Yes,Varanasi,15 Jun 12,4 .0 ,Male,Bachelors,27,2,25012,68%,Single ,North,Issues with the Manager
49,XYZ2639,ABC49,21 Sep 10, Sales Executive,E1,Yes,,12 Jun 12,1. 8 ,Male,Bachelors,27,3,25379,57%,Divorced,East,Issues with the Manager
50,XYZ2911,ABC50,25 May 12,AM - Sales,M1,Yes,HO Hyderabad,12 Jul 12,0. 1 ,Male,Bachelors,35,2,50003,38%,Divorced,HO,Lack of Growth
51,XYZ2430,ABC51,10 May 10,Technical Services Officer,M2,Yes,Koyambedu,19 Jun 12,2 .1 ,Male,MBA,41,2,53762,0%,Married,South,More Challenging Job Roles/ Higher designation
52,XYZ2433,ABC52,10 May 10,Sales Executive ,E1,Yes,Madurai (Thallakulam),30 Jun 12,2 .1 ,Female,Bachelors,24,3,26236,79%,Divorced,South,Lack of Growth
53,XYZ2578,ABC53,30-Aug-10,Sales Executive,E1,Yes,Siliguri,20 Apr 12,1. 7 ,Male,Bachelors,28,2,25077,20%,Married,East,Lack of Growth
54,XYZ2710,ABC54,8 Dec 10,Sr Sales Executive,E2,Yes,ZO Mumbai,16 Jun 12,1. 6 ,Male,Bachelors,28,4,38348,67%,Married,West,Issues with the Manager
55,XYZ2887,ABC55,18 May 12,Regional Manager,M3,Yes,HO Hyderabad,19 Jul 12,0. 2 ,Female,Bachelors,35,4,54583,75%,Married,HO,More Challenging Job Roles/ Higher designation
56,XYZ2509,ABC56,21 Jul 10,Sales Executive,E1,Yes,Kanpur,9 Jul 12,1. 11 ,Male,Bachelors,26,2,25702,62%,Single ,Central,Issues with the Manager
57,XYZ2735,ABC57,3 Jan 11,Sales Executive,E1,Yes,Lalpur,7 Jul 12,1. 6 ,Male,Bachelors,26,4,25970,60%,Single ,East,Issues with the Manager
58,XYZ2385,ABC58,13 Apr 10,Sales Executive,E1,Yes,Raipur,21 Jun 12,2 .2 ,Male,Bachelors,28,2,25688,52%,Single ,Central,Lack of Growth
59,XYZ2471,ABC59,15 Jun 10,Sales Executive,E1,Yes,Velachery,3 Jul 12,2 .0 ,Male,Bachelors,27,2,26917,93%,Divorced,South,Issues with the Manager
60,XYZ3043,ABC60,1 Feb 12,Sales Executive,E1,Yes,Najafgarh,7 Jul 12,0. 5 ,Male,Bachelors,24,3,25388,35%,Married,North,Issues with the Manager
61,XYZ2941,ABC61,11 Jul 11,Sales Executive,E1,Yes,Sultanpur,22 Jun 12,0. 11 ,Male,Bachelors,24,2,26537,19%,Married,North,Issues with the Manager
62,XYZ2558,ABC62,9 Aug 10,Sales Executive ,E1,Yes,Gurubuxganj,27 Jun 12,1. 10 ,Male,Bachelors,25,2,26614,51%,Divorced,North,Lack of Growth
63,XYZ3050,ABC63,10 Feb 12,Sales Executive,E1,Yes,Shimla,7 Jul 12,0. 4 ,Male,Bachelors,25,4,26566,65%,Divorced,North,Lack of Growth
64,XYZ2962,ABC64,4 Nov 11,Sales Executive,E1,Yes,Gurukul,24 Jul 12,0. 8 ,Male,Bachelors,25,3,25998,40%,Married,West,Lack of Growth
65,XYZ3154,ABC65,1 Jun 12,Technical Services Officer,M2,Yes,Anand (Ext Vadodara),24 Jul 12,0. 1 ,Male,MBA,37,3,54774,68%,Divorced,West,Lack of Growth
66,XYZ3045,ABC66,7 Feb 12,Sales Executive ,E1,Yes,Rohini,6 Jul 12,0. 4 ,Male,Bachelors,26,2,25770,69%,Married,North,Issues with the Manager
67,XYZ1727,ABC67,25 Jun 08,Sr Sales Executive ,E2,Yes,Shahpura,5 Aug 12,4 .1 ,Male,Bachelors,30,4,38664,95%,Divorced,North,Lack of Growth
68,XYZ2807,ABC68,7 Mar 11,Sales Executive,E1,Yes,Bhavnagar,5 Aug 12,1. 4 ,Female,Bachelors,26,4,26320,45%,Divorced,West,Lack of Growth
69,XYZ2623,ABC69,7 Sep 10,Sales Executive,E1,Yes,Gondal,10 Aug 12,1. 11 ,Male,Bachelors,28,3,26015,64%,Single ,West,Lack of Growth
70,XYZ1257,ABC70,12 Nov 07,Sr Sales Executive,E2,Yes,HO Hyderabad,11 Aug 12,4 .8 ,Male,Bachelors,31,3,32025,46%,Single ,HO,Lack of Growth
71,XYZ1195,ABC71,10 Oct 07,Sr Sales Executive,E2,Yes,HO Hyderabad,10 Aug 12,4 .10 ,Male,Bachelors,35,4,35166,73%,Single ,HO,Issues with the Manager
72,XYZ2027,ABC72,20 Dec 08,Sales Executive ,E1,Yes,Sonipat,31 May 12,3 .5 ,Male,Bachelors,25,3,25940,90%,Married,North,Issues with the Manager
73,XYZ3056,ABC73,23 Feb 12,AM - Sales,M1,Yes,Admin Delhi,12 Jun 12,0. 3 ,Male,Bachelors,35,3,51677,22%,Single ,North,More Challenging Job Roles/ Higher designation
74,XYZ3143,ABC74,21 May 12,Sales Executive,E1,Yes,Tilak Vihar,5 Jul 12,0. 1 ,Male,Bachelors,27,4,25675,84%,Single ,North,Issues with the Manager
75,XYZ2415,ABC75,6 May 10,AM - Sales,M1,Yes,Velachery,10 Jul 12,2 .2 ,Female,Bachelors,32,3,50129,80%,Divorced,South,Lack of Growth
76,XYZ1423,ABC76,16 Feb 08,Sales Executive ,E1,Yes,Velachery,24 Jul 12,4 .5 ,Male,Bachelors,24,3,25487,63%,Single ,South,Lack of Growth
77,XYZ3114,ABC77,1 May 12,Regional Manager,M3,Yes,HO Hyderabad,4 Jul 12,0. 2 ,Male,Bachelors,35,4,54660,30%,Divorced,HO,Termination - Theft
78,XYZ2865,ABC78,2 May 11,Sales Executive,E1,Yes,Jagdispuram,2 Aug 12,1. 3 ,Male,Bachelors,26,4,26324,76%,Divorced,North,Lack of Growth
79,XYZ2775,ABC79,21 Feb 11,Sales Executive,E1,Yes,Shahpura,17 Jul 12,1. 4 ,Female,Bachelors,28,4,25368,94%,Divorced,North,Issues with the Manager
80,XYZ2435,ABC80,10 May 10,Sales Executive,E1,Yes,Koyambedu,21 Aug 12,2 .3 ,Male,Bachelors,27,4,25831,33%,Divorced,South,Issues with the Manager
81,XYZ2494,ABC81,05-07-2010,Sales Executive,E1,Yes,Magadi Road,20 Aug 12,2 .3 ,Male,Bachelors,24,2,26753,70%,Married,South,Issues with the Manager
82,XYZ2633,ABC82,02-09-2010,Zonal Manager,M4,Yes,HO Hyderabad,31 Aug 12,2 .6 ,Male,Bachelors,45,2,91388,41%,Married,HO,More Challenging Job Roles/ Higher designation
83,XYZ2946,ABC83,01-08-2011,Sales Executive,E1,Yes,ZO Delhi,9 Jun 12,1. 5 ,Male,Bachelors,27,4,25728,90%,Divorced,North,More Challenging Job Roles/ Higher designation
84,XYZ0698,ABC84,8 Jul 06,Sales Executive ,E1,Yes,Trivandrum,26 May 12,5 .10 ,Male,Bachelors,26,4,26451,25%,Divorced,South,Lack of Growth
85,XYZ3101,ABC85,16 Apr 12,Sales Executive,E1,Yes,Kalyan,6 Jun 12,0. 1 ,Male,Bachelors,28,4,26159,2%,Married,West,Lack of Growth
86,XYZ0657,ABC86,15 Jun 06,Technical Services Officer,M2,Yes,Trivandrum,19 Jun 12,6 .0 ,Male,MBA,35,3,56534,86%,Single ,South,More Challenging Job Roles/ Higher designation
87,XYZ3127,ABC87,11 May 12,Sales Executive,E1,Yes,Pune,20 May 12,0. 0 ,Male,Bachelors,25,2,25720,96%,Single ,West,Issues with the Manager
88,XYZ2799,ABC88,21 Feb 11,Sales Executive,E1,Yes,Loni,30 Jul 12,1. 5 ,Male,Bachelors,28,4,25427,71%,Married,North,Lack of Growth
89,XYZ1755,ABC89,1 Aug 08,Sales Executive ,E1,Yes,Velachery,31 Jul 12,3 .11 ,Male,Bachelors,28,4,25248,51%,Married,South,Lack of Growth
90,XYZ2249,ABC90,7 Dec 09,Sales Executive,E1,Yes,Dumdum,30 Jul 12,2 .7 ,Male,Bachelors,24,4,25669,34%,Divorced,East,Lack of Growth
91,XYZ2598,ABC91,1 Sep 10, Sales Executive,E1,Yes,Kolkata,30 Jul 12,1. 10 ,Male,Bachelors,28,4,26314,91%,Divorced,East,Lack of Growth
92,XYZ2857,ABC92,20 Apr 11,Sales Executive,E1,Yes,Jhansi,25 Jul 12,1. 3 ,Male,Bachelors,28,3,26389,96%,Divorced,Central,Lack of Growth
93,XYZ2749,ABC93,14 Jan 11,Sr Sales Executive,E2,Yes,Kolkatta,31 Jul 12,1. 6 ,Male,Bachelors,31,2,32415,83%,Married,East,Issues with the Manager
94,XYZ1990,ABC94,20 Dec 08,Sales Executive,E1,Yes,Vasai,7 Aug 12,3 .7 ,Male,Bachelors,28,3,25051,9%,Divorced,West,Issues with the Manager
95,XYZ3051,ABC95,13 Feb 12,Sales Executive,E1,Yes,Allahabad,28 Apr 12,0. 2 ,Male,Bachelors,25,3,26129,62%,Married,CENTRAL,Issues with the Manager
96,XYZ2913,ABC96,24 May 11,Sales Executive,E1,Yes,Jagdishpuram,25 Jun 12,1. 1 ,Male,Bachelors,27,4,25166,72%,Divorced,North,Issues with the Manager
97,XYZ1805,ABC97,20 Sep 08,Sr Sales Executive ,E2,Yes,Mandi,1 Aug 12,3 .10 ,Male,Bachelors,28,2,32494,28%,Divorced,North,Lack of Growth
98,XYZ1804,ABC98,1 Sep 08,Sales Executive ,E1,Yes,Haldwani,30 Jul 12,3 .10 ,Female,Bachelors,25,3,26654,14%,Single ,North,Better Salary
99,XYZ2949,ABC99,16 Aug 11,Sales Executive,E1,Yes,Unchahar,19 Jul 12,0. 11 ,Male,Bachelors,24,4,26569,54%,Divorced,North,Issues with the Manager
100,XYZ2917,ABC100,27 May 11,Sales Executive,E1,Yes,Sultanpur,30 Jul 12,1. 2 ,Male,Bachelors,26,3,26413,17%,Divorced,North,Lack of Growth
101,XYZ2422,ABC101,10 May 10,Sales Executive ,E1,Yes,Varanasi,8 Aug 12,2 .2 ,Male,Bachelors,26,3,25536,23%,Married,CENTRAL,Issues with the Manager
102,XYZ3141,ABC102,21 May 12,Sales Executive,E1,Yes,Trivandrum,30 May 12,0. 0 ,Male,Bachelors,24,4,25818,13%,Single ,South,Issues with the Manager
103,XYZ3124,ABC103,1 May 12,Sales Executive,E1,Yes,Trivandrum,21 Jun 12,0. 1 ,Male,Bachelors,27,3,25878,3%,Divorced,South,Issues with the Manager
104,XYZ3115,ABC104,1 May 12,Technical Services Officer,M2,Yes,Trivandrum,24 Jun 12,0. 1 ,Male,MBA,40,4,54060,66%,Single ,South,Lack of Growth
105,XYZ3062,ABC105,24 Feb 12,Sales Executive,E1,Yes,Trivandrum,30 May 12,0. 3 ,Male,Bachelors,25,4,25021,44%,Single ,South,Issues with the Manager
106,XYZ0739,ABC106,26 Oct 06,Sr Sales Executive ,E2,Yes,Trivandrum,15 Jul 12,5 .8 ,Male,Bachelors,27,4,33794,52%,Married,South,Lack of Growth
107,XYZ3158,ABC107,12 Jun 12,Sales Executive,E1,Yes,Trivandrum,30 Jun 12,0. 0 ,Male,Bachelors,27,3,25630,60%,Married,South,Issues with the Manager
108,XYZ2088,ABC108,27 Jan 09,Sales Executive,E1,Yes,Trivandrum,3 Jul 12,3 .5 ,Male,Bachelors,24,4,25635,88%,Divorced,South,Issues with the Manager
109,XYZ3140,ABC109,21 May 12,Sales Executive,E1,Yes,Trivandrum,9 Jul 12,0. 1 ,Male,Bachelors,27,3,26659,97%,Single ,South,Issues with the Manager
